xprize_subdomain,test,test_label,sex_label,age_label,age_bin,N,N reversal 5yr,N reversal 10yr,N reversal 15yr,N reversal 20yr
Attention,dsf,Digit Span Forward,Women,50-54,50,201,0.2835820895522388,0.2835820895522388,0.26865671641791045,0.1791044776119403
Attention,dsf,Digit Span Forward,Women,55-59,55,227,0.2422907488986784,0.2422907488986784,0.2422907488986784,0.2422907488986784
Attention,dsf,Digit Span Forward,Women,60-64,60,246,0.23577235772357724,0.21544715447154472,0.2032520325203252,0.2032520325203252
Attention,dsf,Digit Span Forward,Women,65-69,65,224,0.25,0.16071428571428573,0.13839285714285715,0.12946428571428573
Attention,dsf,Digit Span Forward,Women,70-74,70,185,0.15135135135135136,0.10810810810810811,0.08108108108108109,0.08108108108108109
Attention,dsf,Digit Span Forward,Women,75-79,75,214,0.20093457943925233,0.14953271028037382,0.11214953271028037,0.11214953271028037
Attention,dsf,Digit Span Forward,Women,80-84,80,217,0.24423963133640553,0.1935483870967742,0.17050691244239632,0.15668202764976957
Attention,dsf,Digit Span Forward,Women,85-90,85,148,0.20270270270270271,0.16216216216216217,0.13513513513513514,0.12162162162162163
Attention,dsf,Digit Span Forward,Men,50-54,50,155,0.24516129032258063,0.24516129032258063,0.24516129032258063,0.1935483870967742
Attention,dsf,Digit Span Forward,Men,55-59,55,204,0.3137254901960784,0.3137254901960784,0.3137254901960784,0.3137254901960784
Attention,dsf,Digit Span Forward,Men,60-64,60,191,0.2356020942408377,0.20418848167539266,0.16753926701570682,0.16753926701570682
Attention,dsf,Digit Span Forward,Men,65-69,65,216,0.17592592592592593,0.11574074074074074,0.10648148148148148,0.09259259259259259
Attention,dsf,Digit Span Forward,Men,70-74,70,172,0.16279069767441862,0.12790697674418605,0.09883720930232558,0.08139534883720931
Attention,dsf,Digit Span Forward,Men,75-79,75,151,0.18543046357615894,0.1390728476821192,0.11920529801324503,0.11920529801324503
Attention,dsf,Digit Span Forward,Men,80-84,80,112,0.25892857142857145,0.19642857142857142,0.17857142857142858,0.16071428571428573
Attention,dsf,Digit Span Forward,Men,85-90,85,51,0.19607843137254902,0.19607843137254902,0.17647058823529413,0.17647058823529413
Executive Function & Processing,dsb,Digit Span Backward,Women,50-54,50,198,0.30808080808080807,0.2676767676767677,0.09090909090909091,0.03535353535353535
Executive Function & Processing,dsb,Digit Span Backward,Women,55-59,55,225,0.29777777777777775,0.29777777777777775,0.28444444444444444,0.14222222222222222
Executive Function & Processing,dsb,Digit Span Backward,Women,60-64,60,240,0.275,0.275,0.275,0.275
Executive Function & Processing,dsb,Digit Span Backward,Women,65-69,65,218,0.22018348623853212,0.1743119266055046,0.16055045871559634,0.16055045871559634
Executive Function & Processing,dsb,Digit Span Backward,Women,70-74,70,185,0.20540540540540542,0.13513513513513514,0.11351351351351352,0.10810810810810811
Executive Function & Processing,dsb,Digit Span Backward,Women,75-79,75,205,0.08780487804878048,0.06341463414634146,0.05853658536585366,0.05853658536585366
Executive Function & Processing,dsb,Digit Span Backward,Women,80-84,80,215,0.26976744186046514,0.2186046511627907,0.1813953488372093,0.16279069767441862
Executive Function & Processing,dsb,Digit Span Backward,Women,85-90,85,144,0.1736111111111111,0.1527777777777778,0.13194444444444445,0.11805555555555555
Executive Function & Processing,dsb,Digit Span Backward,Men,50-54,50,153,0.3464052287581699,0.3464052287581699,0.3464052287581699,0.3464052287581699
Executive Function & Processing,dsb,Digit Span Backward,Men,55-59,55,200,0.315,0.31,0.31,0.31
Executive Function & Processing,dsb,Digit Span Backward,Men,60-64,60,186,0.25806451612903225,0.23655913978494625,0.20967741935483872,0.20430107526881722
